date,FlowInExNtv,FlowOutExNtv,netflow_btc,SplyExNtv
2020-01-01,11253.33519748,8431.83156576,2821.503631720001,2965687.71271696
2020-01-02,40183.30546337,23507.28381431,16676.02164906,2982363.73436602
2020-01-03,29618.16510002,28117.66238858,1500.50271144,2983864.23707746
2020-01-04,17784.51070827,11461.55456219,6322.956146080001,2990187.19322354
2020-01-05,10007.18079718,9980.34842919,26.83236799000042,2990214.02559153
2020-01-06,28979.7927332,27430.93701735,1548.8557158500007,2991762.88130738
2020-01-07,32696.6700381,26719.21028296,5977.45975514,2997740.34106252
2020-01-08,33740.46813097,29487.87913213,4252.588998840001,3001992.93006136
2020-01-09,29092.38391658,25942.83781866,3149.5460979199997,3005142.47615928
2020-01-10,34374.81352047,37710.70639726,-3335.8928767899997,3001806.58328249
2020-01-11,13358.94241367,15230.63856097,-1871.6961472999992,2999934.88713519
2020-01-12,8844.32850436,10591.14474915,-1746.8162447899995,2998188.0708904
2020-01-13,29422.25560887,27093.84274985,2328.4128590200016,3000516.48374942
2020-01-14,59035.20198288,42170.74120516,16864.46077772,3017380.94452714
2020-01-15,50396.84179778,44469.11932627,5927.722471509995,3023308.66699865
2020-01-16,28694.71834376,32291.04565276,-3596.3273090000002,3019712.33968965
2020-01-17,29540.35310183,31405.90927559,-1865.55617376,3017846.78351589
2020-01-18,14604.27996342,12663.0012258,1941.2787376199994,3019788.06225351
2020-01-19,15432.86303171,15879.60067599,-446.7376442799996,3019341.32460923
2020-01-20,24111.23339195,25946.05760256,-1834.824210609997,3017506.50039862
2020-01-21,28118.16387788,28578.09000562,-459.9261277400001,3017046.57427088
2020-01-22,29562.83062933,35280.7414092,-5717.910779870002,3011328.66349101
2020-01-23,26458.93306616,26733.2741686,-274.3411024400011,3011054.32238857
2020-01-24,26982.84355419,28391.54156877,-1408.6980145800007,3009645.62437399
2020-01-25,8443.74618017,9223.90732425,-780.1611440800007,3008865.46322991
2020-01-26,13874.26199679,9009.07434247,4865.18765432,3013730.65088423
2020-01-27,26180.50750689,24029.76038613,2150.7471207599992,3015881.39800499
2020-01-28,40831.73828582,22140.25676799,18691.48151783,3034572.87952282
2020-01-29,31850.54326582,22465.34827516,9385.194990660002,3043958.07451348
2020-01-30,29199.368106,30954.95282092,-1755.584714919998,3042202.48979856
2020-01-31,25421.35874389,33216.13213479,-7794.773390900002,3034407.71640766
2020-02-01,12504.76836905,10947.04992377,1557.7184452799993,3035965.43485294
2020-02-02,13765.48606891,13636.52278884,128.9632800700001,3036094.39813301
2020-02-03,29763.78404115,25421.24338677,4342.540654380002,3040436.93878739
2020-02-04,25891.74399956,21810.65625669,4081.0877428700005,3044518.02653026
2020-02-05,34594.22827384,26792.01341518,7802.2148586600015,3052320.24138892
2020-02-06,35193.73866693,30843.65630493,4350.082362000005,3056670.32375092
2020-02-07,28697.74711646,28457.59510409,240.15201236999928,3056910.47576329
2020-02-08,17497.21756947,24515.58085877,-7018.363289299999,3049892.11247399
2020-02-09,21880.58380064,16827.46492015,5053.118880490001,3054945.23135448
2020-02-10,42377.94316775,37598.90250263,4779.040665120003,3059724.2720196
2020-02-11,37468.76659059,27077.76619269,10391.0003979,3070115.2724175
2020-02-12,43223.57391009,35218.01105105,8005.562859040001,3078120.83527654
2020-02-13,37405.59003105,32863.28210285,4542.3079282000035,3082663.14320474
2020-02-14,32976.85876569,32124.70695824,852.1518074499982,3083515.29501219
2020-02-15,22291.57466388,23049.0616323,-757.4869684199984,3082757.80804377
2020-02-16,17650.88018787,16489.25407946,1161.6261084100006,3083919.43415218
2020-02-17,32732.57804163,26818.06155055,5914.516491080001,3089833.95064326
2020-02-18,34737.55955785,37266.06826241,-2528.508704560001,3087305.4419387
2020-02-19,32302.90645528,35531.59858064,-3228.6921253599976,3084076.74981334
2020-02-20,35335.65210187,41648.21997356,-6312.56787169,3077764.18194165
2020-02-21,25784.31446031,36212.73934156,-10428.42488125,3067335.7570604
2020-02-22,13789.56560208,13457.15992549,332.40567659000044,3067668.16273699
2020-02-23,19831.62910695,19080.10678645,751.5223205000002,3068419.68505749
2020-02-24,32013.94380841,32571.94990445,-558.0060960400006,3067861.67896145
2020-02-25,28078.56980791,31763.82091258,-3685.2511046699983,3064176.42785678
2020-02-26,44185.21961643,40748.41105121,3436.808565219995,3067613.236422
2020-02-27,35783.509502,40588.31224462,-4804.802742619999,3062808.43367938
2020-02-28,34964.20932212,39967.71552786,-5003.506205739999,3057804.92747364
2020-02-29,13279.06439362,15545.93760635,-2266.873212730001,3055538.05426091
2020-03-01,13145.37097413,13033.61864058,111.75233355000091,3055649.80659446
2020-03-02,34628.74406796,33124.17156441,1504.57250355,3057154.37909801
2020-03-03,29669.16808306,31066.79735773,-1397.6292746699983,3055756.74982334
2020-03-04,25055.02873783,34352.1400211,-9297.111283269998,3046459.63854007
2020-03-05,31530.1849876,34757.37350519,-3227.188517589999,3043232.45002248
2020-03-06,26448.70398838,41915.75923909,-15467.055250710004,3027765.39477177
2020-03-07,13194.15008951,11482.94959526,1711.2004942500007,3029476.59526602
2020-03-08,24978.33354438,24483.04462279,495.2889215899995,3029971.88418761
2020-03-09,75673.13053664,63847.99249309,11825.138043550003,3041797.02223116
2020-03-10,46170.53087175,41405.6282248,4764.902646950002,3046561.92487811
2020-03-11,36341.84801375,31879.54726183,4462.30075192,3051024.22563003
2020-03-12,164266.85600873,120730.10999664,43536.74601209001,3094560.97164212
2020-03-13,191723.26409498,165154.5928113,26568.671283679985,3121129.6429258
2020-03-14,69175.62240224,56897.54334433,12278.07905791,3133407.72198371
2020-03-15,37900.21781402,33783.29036109,4116.927452929995,3137524.64943664
2020-03-16,95531.60202559,107127.52593195,-11595.92390636001,3125928.72553028
2020-03-17,73798.06244959,74434.65650412,-636.5940545299964,3125292.13147575
2020-03-18,45613.45406956,65880.89057703,-20267.436507470004,3105024.69496828
2020-03-19,58137.63323933,70666.5783724,-12528.945133070003,3092495.74983521
2020-03-20,73302.91036756,64183.94835878,9118.962008780007,3101614.71184399
2020-03-21,23398.46619613,31928.72763576,-8530.261439629998,3093084.45040436
2020-03-22,23343.27494993,20841.66319526,2501.6117546700007,3095586.06215903
2020-03-23,44978.31324613,49524.79956835,-4546.48632222,3091039.57583681
2020-03-24,40226.89078398,52900.72073872,-12673.829954740002,3078365.74588207
2020-03-25,35073.87983651,45694.40755716,-10620.527720649996,3067745.21816142
2020-03-26,36213.64131345,31870.26002759,4343.381285860003,3072088.59944728
2020-03-27,42202.1017032,46540.70614669,-4338.604443489996,3067749.99500379
2020-03-28,27227.96625425,32991.64814426,-5763.681890009997,3061986.31311378
2020-03-29,32252.41288291,26326.98981927,5925.4230636400025,3067911.73617742
2020-03-30,43887.85639501,42833.79247639,1054.0639186199987,3068965.80009604
2020-03-31,29135.14893584,36474.20195564,-7339.053019799998,3061626.74707624
2020-04-01,36104.59623504,40325.92754966,-4221.331314620002,3057405.41576162
2020-04-02,43483.00954632,40167.75213367,3315.2574126499967,3060720.67317427
2020-04-03,40529.31128454,44330.4016813,-3801.090396759995,3056919.58277751
2020-04-04,17009.9704997,19966.75184468,-2956.781344979998,3053962.80143253
2020-04-05,14266.5000843,17820.16239614,-3553.6623118400003,3050409.13912069
2020-04-06,54872.79139261,53656.15806113,1216.6333314799995,3051625.77245217
2020-04-07,42503.78081825,41849.52199072,654.2588275300004,3052280.0312797
2020-04-08,34509.53352365,37077.39037602,-2567.856852369994,3049712.17442733
2020-04-09,42462.05450512,59384.88979506,-16922.835289939998,3032789.33913739
2020-04-10,38958.69346919,44659.27705096,-5700.583581769999,3027088.75555562
2020-04-11,17680.16719185,23334.84750911,-5654.680317260001,3021434.07523836
2020-04-12,18018.36274008,17004.35336043,1014.0093796500005,3022448.08461801
2020-04-13,31428.13850403,41046.01313766,-9617.874633629996,3012830.20998438
2020-04-14,29076.58321846,30553.95878092,-1477.375562459998,3011352.83442192
2020-04-15,53495.55407754,49712.97411246,3782.5799650800036,3015135.414387
2020-04-16,61806.63926856,50924.19563792,10882.443630640002,3026017.85801764
2020-04-17,34887.27221229,51564.01943416,-16676.74722187,3009341.11079577
2020-04-18,19873.70614498,18347.89326972,1525.8128752599987,3010866.92367103
2020-04-19,17040.75253305,15232.09114647,1808.661386579999,3012675.58505761
2020-04-20,36455.27442704,41977.12734372,-5521.85291668,3007153.73214093
2020-04-21,39284.56951222,40794.94974079,-1510.3802285700003,3005643.35191236
2020-04-22,32592.84314627,38851.03832764,-6258.195181370003,2999385.15673099
2020-04-23,44940.76234778,32269.49262252,12671.269725260001,3012056.42645625
2020-04-24,47214.83443748,56374.89488359,-9160.060446110001,3002896.36601014
2020-04-25,19149.54523064,17728.48508293,1421.060147709999,3004317.42615785
2020-04-26,21333.56998569,21149.39761465,184.17237104000014,3004501.59852889
2020-04-27,40810.08077932,38999.65717558,1810.423603739997,3006312.02213263
2020-04-28,38828.24510912,42517.83323512,-3689.5881260000024,3002622.43400663
2020-04-29,65760.58052366,64358.13906287,1402.4414607899962,3004024.87546742
2020-04-30,64139.69280125,63715.26565983,424.4271414199975,3004449.30260884
2020-05-01,48607.02576907,44224.03273525,4382.993033819999,3008832.29564266
2020-05-02,18563.29473337,16133.7202651,2429.5744682699988,3011261.87011093
2020-05-03,25334.10753772,20478.90563776,4855.20189996,3016117.07201089
2020-05-04,35559.22713796,42521.29862315,-6962.071485190005,3009155.0005257
2020-05-05,34535.3687568,29457.59822761,5077.770529190002,3014232.77105489
2020-05-06,37398.16469718,36885.36061895,512.8040782300013,3014745.57513312
2020-05-07,64642.24836214,52119.13544408,12523.112918060004,3027268.68805118
2020-05-08,54708.31012968,51194.35232423,3513.9578054500016,3030782.64585663
2020-05-09,34694.06092321,33491.1168191,1202.94410411,3031985.58996074
2020-05-10,34879.42461977,37697.2810012,-2817.8563814299996,3029167.73357931
2020-05-11,52663.39527286,61730.64934869,-9067.254075830002,3020100.47950348
2020-05-12,36553.24939746,50911.93457839,-14358.685180929999,3005741.79432255
2020-05-13,46649.59156079,51004.36720581,-4354.775645019996,3001387.01867753
2020-05-14,45000.99863813,38771.12180323,6229.876834899995,3007616.89551243
2020-05-15,47192.90655193,65513.20677731,-18320.30022538,2989296.59528705
2020-05-16,19591.94090896,14146.18570562,5445.755203340001,2994742.35049039
2020-05-17,18535.34101883,16016.42216608,2518.918852750001,2997261.26934314
2020-05-18,46570.39110508,45003.56191174,1566.8291933400033,2998828.09853648
2020-05-19,36934.71279971,41241.73151631,-4307.018716599996,2994521.07981988
2020-05-20,30809.5851845,36092.14802085,-5282.56283635,2989238.51698353
2020-05-21,49112.858126,43525.17380626,5587.684319740001,2994826.20130327
2020-05-22,32917.10740346,35234.04179553,-2316.9343920699976,2992509.2669112
2020-05-23,14998.99318551,13171.69499552,1827.2981899900005,2994336.56510119
2020-05-24,15488.91026233,16652.88986223,-1163.9795998999998,2993172.58550129
2020-05-25,30086.47774496,43054.42204847,-12967.944303509998,2980204.64119778
2020-05-26,30278.33797781,31638.34794439,-1360.0099665800008,2978844.6312312
2020-05-27,33974.28263271,33339.68706932,634.5955633899939,2979479.22679459
2020-05-28,36565.75187658,31261.89812082,5303.853755759999,2984783.08055035
2020-05-29,38132.99099865,34361.38563843,3771.6053602199972,2988554.68591057
2020-05-30,21743.61567048,17086.23932208,4657.376348400001,2993212.06225897
2020-05-31,20896.7835626,15932.08176823,4964.701794370001,2998176.76405334
2020-06-01,37705.4550428,49643.93500536,-11938.479962559999,2986238.28409078
2020-06-02,74673.05040361,64992.85326395,9680.197139660006,2995918.48123044
2020-06-03,40943.87008667,43031.17145528,-2087.301368609995,2993831.17986183
2020-06-04,35690.27580592,31166.30283563,4523.97297029,2998355.15283212
2020-06-05,42643.41389528,56158.8118542,-13515.397958920003,2984839.7548732
2020-06-06,13738.68533347,15825.68822696,-2087.0028934899983,2982752.75197971
2020-06-07,13999.78833865,13468.99289412,530.7954445300002,2983283.54742424
2020-06-08,61414.01603171,64241.08307384,-2827.067042130002,2980456.48038211
2020-06-09,27500.63829216,31686.29686848,-4185.658576319998,2976270.82180579
2020-06-10,31716.67695075,28309.40064889,3407.276301859998,2979678.09810765
2020-06-11,43872.77685617,49025.9453588,-5153.168502630004,2974524.92960502
2020-06-12,33242.77879732,32922.89465171,319.88414561000536,2974844.81375063
2020-06-13,15693.79598842,17146.47138319,-1452.67539477,2973392.13835586
2020-06-14,12499.38000297,13421.79504541,-922.4150424399995,2972469.72331342
2020-06-15,34234.49662497,34320.28050223,-85.78387726000074,2972383.93943616
2020-06-16,34653.11789711,35946.51018681,-1293.3922897000011,2971090.54714646
2020-06-17,29749.7252125,30148.50306863,-398.77785613000015,2970691.76929033
2020-06-18,25555.76065238,40705.93008204,-15150.169429660004,2955541.59986067
2020-06-19,40686.99411979,38189.16048264,2497.8336371499972,2958039.43349782
2020-06-20,15159.74633371,14607.43436168,552.3119720300001,2958591.74546985
2020-06-21,14100.21245954,12984.63183967,1115.5806198699993,2959707.32608972
2020-06-22,35140.96131758,33373.524885,1767.436432579998,2961474.7625223
2020-06-23,55227.90453873,64443.51482014,-9215.610281410001,2952259.15224089
2020-06-24,36088.34966368,36129.42516966,-41.075505979999434,2952218.07673491
2020-06-25,43061.39474317,40316.46837726,2744.9263659100034,2954963.00310082
2020-06-26,31948.51241849,33958.31237999,-2009.7999614999972,2952953.20313932
2020-06-27,16428.4534076,15591.81056765,836.6428399500019,2953789.84597927
2020-06-28,15484.13137511,13626.8088808,1857.3224943100013,2955647.16847358
2020-06-29,34096.65939411,33805.47176416,291.18762995,2955938.35610353
2020-06-30,27227.02537099,30414.55766688,-3187.5322958899997,2952750.82380764
2020-07-01,37679.36652977,30674.63050758,7004.736022189998,2959755.55982983
2020-07-02,34044.18104948,32764.35873364,1279.8223158399996,2961035.38214567
2020-07-03,24658.61135423,34601.31129713,-9942.699942899999,2951092.68220277
2020-07-04,17725.53362613,15954.34725283,1771.186373299999,2952863.86857607
2020-07-05,12320.27341018,10731.34277975,1588.930630429999,2954452.7992065
2020-07-06,35539.65365738,29567.71168388,5971.941973499997,2960424.74118
2020-07-07,33507.11829915,36928.10875201,-3420.9904528599945,2957003.75072714
2020-07-08,60723.87273465,52658.24274952,8065.629985129999,2965069.38071227
2020-07-09,37651.43656093,32804.05650242,4847.380058510003,2969916.76077078
2020-07-10,35386.2840169,35489.99466202,-103.71064512000157,2969813.05012566
2020-07-11,16813.60640733,13970.21497455,2843.391432780001,2972656.44155844
2020-07-12,11796.08801059,12293.59077345,-497.5027628600001,2972158.93879558
2020-07-13,34108.36718058,41438.41662418,-7330.049443600001,2964828.88935198
2020-07-14,31610.91629046,29687.77927456,1923.1370158999998,2966752.02636788
2020-07-15,37012.76279984,38491.33274461,-1478.5699447700026,2965273.45642311
2020-07-16,34543.80981544,34314.87113372,228.9386817199993,2965502.39510483
2020-07-17,35053.80035619,37116.00676069,-2062.2064045000006,2963440.18870033
2020-07-18,16360.36259707,14282.66132591,2077.70127116,2965517.88997149
2020-07-19,17156.0418575,19936.20661459,-2780.1647570899986,2962737.7252144
2020-07-20,33079.34715621,27835.48192797,5243.8652282400035,2967981.59044264
2020-07-21,32192.99395823,31598.42262276,594.5713354699983,2968576.16177811
2020-07-22,45241.9852571,35275.4414435,9966.543813600001,2978542.70559171
2020-07-23,46436.24896625,48067.82448389,-1631.575517639998,2976911.13007407
2020-07-24,44548.69800594,44699.5799291,-150.88192315999913,2976760.24815091
2020-07-25,26791.05024626,24707.48449938,2083.565746880002,2978843.81389779
2020-07-26,31237.65850291,24063.81132054,7173.847182369998,2986017.66108016
2020-07-27,74157.2750553,54559.44816833,19597.826886969997,3005615.48796713
2020-07-28,62102.23719165,51644.85440057,10457.382791079996,3016072.87075821
2020-07-29,46313.39200427,44671.17320871,1642.2187955599948,3017715.08955377
2020-07-30,48444.27120195,50910.15103344,-2465.8798314899977,3015249.20972228
2020-07-31,47308.72796588,53593.21691434,-6284.488948459999,3008964.72077382
2020-08-01,36433.62450938,30439.13797078,5994.486538600002,3014959.20731242
2020-08-02,31118.38470956,26394.55290355,4723.831806009999,3019683.03911843
2020-08-03,42092.88474564,45275.8795361,-3182.9947904599976,3016500.04432797
2020-08-04,31733.15270867,41048.7153656,-9315.56265693,3007184.48167104
2020-08-05,34967.30674338,35826.24090742,-858.9341640399944,3006325.547507
2020-08-06,44665.18503877,41081.85082709,3583.334211680005,3009908.88171868
2020-08-07,38535.60911956,49289.72281973,-10754.113700169997,2999154.76801851
2020-08-08,23543.77592353,18234.30592301,5309.470000519999,3004464.23801903
2020-08-09,19498.64756016,23724.3241629,-4225.676602740001,3000238.56141629
2020-08-10,44614.2438469,49860.7979613,-5246.554114400002,2994992.00730189
2020-08-11,39129.66083468,40628.08768626,-1498.4268515799995,2993493.58045031
2020-08-12,34418.62260776,37999.28409893,-3580.6614911700017,2989912.91895914
2020-08-13,32931.48805822,45317.3381348,-12385.850076579998,2977527.06888256
2020-08-14,50305.55345689,54699.74332808,-4394.189871190007,2973132.87901137
2020-08-15,17688.0323494,27049.44310827,-9361.410758869999,2963771.4682525
2020-08-16,19084.16628895,24289.01523435,-5204.848945400001,2958566.6193071
2020-08-17,59308.11564378,61519.36312353,-2211.2474797499963,2956355.37182735
2020-08-18,45562.4261095,45718.74409875,-156.31798925000476,2956199.0538381
2020-08-19,49530.05506574,60167.44137691,-10637.386311169997,2945561.66752693
2020-08-20,38945.82487139,35938.23712156,3007.5877498300033,2948569.25527676
2020-08-21,31164.50210282,37753.26602262,-6588.763919800003,2941980.49135696
2020-08-22,18015.82642432,17969.44859382,46.3778304999978,2942026.86918746
2020-08-23,12358.54554421,13527.16286831,-1168.6173241000015,2940858.25186336
2020-08-24,29154.69293998,31624.27148056,-2469.5785405800016,2938388.67332278
2020-08-25,31760.82502055,41444.01859118,-9683.19357063,2928705.47975215
2020-08-26,37178.45513485,38838.78802176,-1660.3328869100005,2927045.14686524
2020-08-27,36313.09507968,32506.31479654,3806.780283140004,2930851.92714838
2020-08-28,40047.72559529,55649.28781987,-15601.562224579997,2915250.3649238
2020-08-29,19184.4538429,21603.27800539,-2418.82416249,2912831.54076131
2020-08-30,21571.88311481,16579.13984497,4992.743269840001,2917824.28403115
2020-08-31,40145.02710785,74724.62732971,-34579.60022186,2883244.68380929
2020-09-01,46298.71269825,40920.66758325,5378.045115000001,2888622.72892429
2020-09-02,53089.61083376,61116.43471228,-8026.823878520001,2880595.90504577
2020-09-03,60312.44652712,56892.14384762,3420.302679500004,2884016.20772527
2020-09-04,61956.12363519,61814.60156548,141.52206971000123,2884157.72979498
2020-09-05,38036.81623106,31419.64366813,6617.172562930002,2890774.90235791
2020-09-06,22010.30177789,21952.93491926,57.366858630000934,2890832.26921654
2020-09-07,37084.94936066,36827.75653632,257.1928243400034,2891089.46204088
2020-09-08,37372.37717647,43120.45414483,-5748.076968360001,2885341.38507252
2020-09-09,37422.52541819,40554.51265018,-3131.987231989995,2882209.39784053
2020-09-10,36044.900217,46706.41525472,-10661.515037719997,2871547.88280281
2020-09-11,36913.29558934,36322.33608748,590.9595018600012,2872138.84230467
2020-09-12,19648.93908663,21027.43862431,-1378.4995376800034,2870760.34276699
2020-09-13,16393.3466926,17032.9249095,-639.5782169000013,2870120.76455009
2020-09-14,38752.82737615,39269.71832433,-516.8909481800001,2869603.87360191
2020-09-15,36824.09407851,40998.94882427,-4174.85474576,2865429.01885615
2020-09-16,43607.86160191,45514.75465938,-1906.893057469999,2863522.12579868
2020-09-17,38453.50024069,44912.08622205,-6458.585981359996,2857063.53981732
2020-09-18,41096.40627865,47809.48599908,-6713.079720430003,2850350.46009689
2020-09-19,19795.73422666,38968.4852681,-19172.75104144,2831177.70905545
2020-09-20,20320.87136765,18189.20057329,2131.6707943600013,2833309.37984981
2020-09-21,40006.19476053,39747.34769039,258.84707014000014,2833568.22691995
2020-09-22,42791.54173321,42374.89576152,416.645971689999,2833984.87289164
2020-09-23,65213.78045442,73857.94410321,-8644.163648790003,2825340.70924285
2020-09-24,37712.97891276,35146.96573526,2566.0131775000045,2827906.72242035
2020-09-25,40413.79734911,49951.53434322,-9537.736994110004,2818368.98542624
2020-09-26,14827.68105929,18305.7735818,-3478.09252251,2814890.89290373
2020-09-27,19464.8384318,23089.43404223,-3624.595610430002,2811266.2972933
2020-09-28,49026.35225973,42877.87830063,6148.473959100003,2817414.7712524
2020-09-29,47918.30566421,50428.72612267,-2510.420458460001,2814904.35079394
2020-09-30,37471.18129298,33928.26963393,3542.911659049998,2818447.26245299
2020-10-01,41915.79303241,49021.24924571,-7105.4562133,2811341.80623969
2020-10-02,35882.90437892,55783.18871573,-19900.28433681,2791441.52190288
2020-10-03,20319.62078335,17595.24306899,2724.377714360002,2794165.89961724
2020-10-04,15412.50808376,15399.67402381,12.834059950000665,2794178.73367719
2020-10-05,32240.72479348,36846.15324279,-4605.428449310002,2789573.30522788
2020-10-06,33030.33950457,29438.66559514,3591.673909430003,2793164.97913731
2020-10-07,37684.43877966,57962.52583093,-20278.08705127,2772886.89208604
2020-10-08,41926.37738556,33529.82172259,8396.55566297,2781283.44774901
2020-10-09,45440.76109345,46263.55818329,-822.7970898400017,2780460.65065917
2020-10-10,27575.47616781,23658.17818704,3917.2979807699994,2784377.94863994
2020-10-11,14844.51561008,13663.68834937,1180.8272607099989,2785558.77590065
2020-10-12,35768.54393413,31382.00137335,4386.542560779999,2789945.31846143
2020-10-13,31180.06093613,33086.98707397,-1906.926137839997,2788038.39232359
2020-10-14,35862.90535263,40150.92021111,-4288.0148584800045,2783750.37746511
2020-10-15,27535.30620269,42396.4366876,-14861.130484909998,2768889.2469802
2020-10-16,39428.84165965,57919.94785794,-18491.10619829,2750398.14078191
2020-10-17,12602.48459634,23285.40076695,-10682.916170609999,2739715.2246113
2020-10-18,10453.39166414,11761.10138769,-1307.7097235500005,2738407.51488775
2020-10-19,32940.72961995,36580.77255854,-3640.042938589999,2734767.47194916
2020-10-20,32487.40688899,32642.85954858,-155.4526595899988,2734612.01928957
2020-10-21,55923.91675776,49202.77546621,6721.141291550004,2741333.16058112
2020-10-22,53506.95943355,55926.84711509,-2419.88768154,2738913.27289958
2020-10-23,32149.255125,38957.68119003,-6808.426065030002,2732104.84683455
2020-10-24,18542.4022287,17258.86691742,1283.5353112800003,2733388.38214583
2020-10-25,13485.66905496,14539.53861874,-1053.8695637799992,2732334.51258205
2020-10-26,32715.08581525,36752.085304,-4036.9994887499997,2728297.5130933
2020-10-27,31283.82409661,40465.96296025,-9182.13886364,2719115.37422966
2020-10-28,45754.17662098,41637.26732544,4116.909295539997,2723232.2835252
2020-10-29,41817.78658939,39092.02512662,2725.7614627700023,2725958.04498797
2020-10-30,39739.02833495,49177.63177003,-9438.603435079996,2716519.44155289
2020-10-31,25467.47125927,22692.08597332,2775.3852859500003,2719294.82683884
2020-11-01,17077.7000394,15449.50193994,1628.198099459998,2720923.0249383
2020-11-02,29998.21843156,53232.88921127,-23234.67077971,2697688.35415859
2020-11-03,41174.2379898,52869.81371599,-11695.57572619,2685992.7784324
2020-11-04,36062.42607753,41613.97842372,-5551.552346190001,2680441.22608621
2020-11-05,70514.5861017,65670.92549097,4843.660610730003,2685284.88669694
2020-11-06,56291.92829785,55575.67697964,716.251318210001,2686001.13801515
2020-11-07,25975.27847768,19946.42394576,6028.854531919998,2692029.99254707
2020-11-08,15536.24629897,18134.50752289,-2598.261223919999,2689431.73132315
